combine_year,player_name,college,position,height_inches,weight_lbs,hand_size_inches,arm_length_inches,40_yard_dash,bench_press_reps,vertitcal_leap_inches,broad_jump_inches,3_cone_drill,20_yard_shuttle,60_yard_shuttle
2018,Dee Delaney,Miami (FL),CB,73,194,,,4.46,13,32.5,120,6.95,4.25,
2018,Nick Deluca,North Dakota State,ILB,75,251,10.25,32.75,4.85,18,29.5,112,7.09,4.23,
2018,Jamil Demby,Maine,OG,76,319,10.75,33.75,5.58,17,23.5,98,7.86,4.95,
2018,Matt Dickerson,UCLA,DE,76,292,10,33.25,5.06,26,31,,,,
2018,Michael Dickson,Texas,P,74,208,9.25,31.25,,,,,,,
2018,Will Dissly,Washington,TE,76,262,10.25,32,4.87,15,28,111,7.07,4.4,12.12
2018,Garret Dooley,Wisconsin,OLB,75,248,10.25,32.5,4.8,21,33,121,,4.28,
2018,Chase Edmonds,Fordham (NY),RB,69,205,9.13,31.13,4.55,19,34,122,6.79,4.07,11.63
2018,Terrell Edmunds,Virginia Tech,SS,74,220,,,4.47,,41.5,134,,,
2018,Tremaine Edmunds,Virginia Tech,OLB,77,253,9.38,34.5,4.54,19,,117,,,
2018,Duke Ejiofor,Wake Forest,DE,76,264,9.75,34.88,,,,,,,
2018,Deshon Elliott,Texas,SS,74,205,,,4.58,15,36,121,,,
2018,Donnie Ernsberger,Western Michigan,FB,75,241,9.75,31.63,4.78,15,31,114,7.09,4.34,
2018,Danny Etling,Louisiana State,QB,74,222,9.38,31,4.76,,30.5,114,7.09,4.37,
2018,Rashaan Evans,Alabama,OLB,75,232,10,32.25,,,30,116,6.95,4.36,
2018,Brandon Facyson,Virginia Tech,CB,74,197,,,4.53,16,,,,,
2018,Luke Falk,Washington State,QB,76,215,9.25,32,,,26.5,103,,,
2018,Rashard Fant,Indiana,CB,70,175,,,,,,,,,
2018,Foley Fatukasi,Connecticut,DT,76,318,10.25,34.13,5.29,33,30,112,7.44,4.53,
2018,Riley Ferguson,Memphis,QB,75,212,9.63,30.88,4.98,,29,110,6.96,4.4,
2018,Kylie Fitts,Utah,DE,76,263,9.5,33,4.69,31,32.5,117,6.88,4.19,11.82
2018,Dimitri Flowers,Oklahoma,FB,74,248,9.25,30.75,4.83,17,30.5,109,7.45,4.53,
2018,Quinton Flowers,South Florida,QB,70,214,9.75,30.88,4.63,,,112,6.81,4.57,
2018,Tre Flowers,Oklahoma State,SS,75,200,,,4.45,18,34.5,122,,,
2018,Robert Foster,Alabama,WR,74,196,9.25,32.13,4.41,,31,116,6.9,4.2,11.9
2018,Jarvion Franklin,Western Michigan,RB,71,239,9.25,31.25,4.63,18,30,109,6.93,4.31,11.81
2018,John Franklin-Myers,Stephen F. Austin (TX),DE,76,283,10,32.88,4.75,26,33,113,7.36,4.48,
2018,Joshua Frazier,Alabama,DT,76,321,10,34.25,,21,,,,,
2018,Royce Freeman,Oregon,RB,71,229,9.5,32,4.54,17,34,118,6.9,4.16,11.64
2018,Troy Fumagalli,Wisconsin,TE,77,247,10.25,34.13,,14,,,,,
2018,Michael Gallup,Colorado State,WR,73,205,9.25,31.5,4.51,10,36,122,6.95,4.37,11.84
2018,Rashaan Gaulden,Tennessee,FS,73,193,,,4.61,8,30,119,7.16,4.33,
2018,Mike Gesicki,Penn State,TE,77,247,10.13,34,4.54,22,41.5,129,6.76,4.1,11.33
2018,Dallas Goedert,South Dakota State,TE,77,256,9.25,32.88,,23,,,,,
2018,Colby Gossett,Appalachian State (NC),OG,77,311,10.88,33.88,5.2,32,25,103,7.6,4.83,
2018,Davon Grayson,East Carolina (NC),WR,73,199,9.38,31.38,4.51,19,34.5,124,,,
2018,Rasheem Green,Southern California,DE,77,275,9.88,33.75,4.73,,32.5,118,7.24,4.39,
2018,Shaquem Griffin,Central Florida,OLB,73,227,9,32.13,4.38,20,,117,,,
2018,Derrius Guice,Louisiana State,RB,70,224,9.75,30.75,4.49,15,31.5,,,,
2018,Grant Haley,Penn State,CB,69,190,,,4.44,15,34,119,6.51,3.94,
2018,Daesean Hamilton,Penn State,WR,73,203,9.38,31,,,34.5,118,6.84,4.15,
2018,Shaun Dion Hamilton,Alabama,ILB,72,228,10.25,31,,20,,,,,
2018,DaShawn Hand,Alabama,DE,76,297,9.75,34.38,4.83,28,31.5,111,7.98,4.62,
2018,Davontae Harris,Illinois State,CB,72,200,,,4.43,22,32.5,123,6.96,4.4,
2018,Marcell Harris,Florida,SS,72,208,,,,16,,,,,
2018,Ronnie Harrison,Alabama,SS,75,214,,,,,34,120,,,
2018,Marquis Haynes,Mississippi,OLB,75,235,10,33.25,4.67,23,32,123,7.14,4.45,
2018,Taylor Hearn,Clemson,OG,76,320,8.75,32.5,5.45,18,24,96,7.84,4.8,
2018,James Hearns,Louisville,OLB,75,239,9.38,32.5,4.89,22,,,,,
2018,Quadree Henderson,Pittsburgh,WR,68,192,9.88,29.5,4.5,12,32.5,120,6.89,4.28,
2018,Zaycoven Henderson,Texas A&M,DT,72,298,9.75,32.75,5.16,20,29.5,105,7.33,4.58,
2018,Will Hernandez,Texas-El Paso,OG,74,327,9.88,32,5.15,37,24,104,7.59,4.7,
2018,Chris Herndon,Miami (FL),TE,76,253,9.75,32.75,,21,,,,,
2018,Kyle Hicks,Texas Christian,RB,70,204,9.5,32.5,4.63,13,36.5,122,,,
2018,B.J. Hill,North Carolina State,DT,76,311,10.63,33,4.99,35,26.5,101,7.28,4.53,
2018,Holton Hill,Texas,CB,75,200,,,4.49,14,31,120,6.83,4.15,
2018,Nyheim Hines,North Carolina State,RB,68,198,8.88,30.75,4.38,,35.5,119,7.18,4.35,
2018,Jeff Holland,Auburn,OLB,74,249,10.5,33.5,4.79,,,116,,,
2018,Jalyn Holmes,Ohio State,DE,77,283,10,34,4.82,25,32,,,,
2018,Sam Hubbard,Ohio State,DE,77,270,10,33.13,,,35,116,6.84,4.32,11.61
2018,Mike Hughes,Central Florida,CB,71,191,,,4.53,20,35.5,127,6.7,4.13,
2018,Hayden Hurst,South Carolina,TE,76,250,9.75,32.13,4.67,,31.5,120,7.19,4.37,12.15
2018,Maurice Hurst,Michigan,DT,74,292,9.5,32,,,,,,,
2018,Godwin Igwebuike,Northwestern,FS,72,205,,,4.44,19,35.5,128,6.56,4.12,10.81
2018,Joel Iyiegbuniwe,Western Kentucky,ILB,73,229,10.25,32.63,4.6,19,35,117,7.06,4.28,
2018,Ryan Izzo,Florida State,TE,77,256,9.25,31.38,4.94,18,33,110,7.15,4.43,12.15
2018,Darius Jackson,Jacksonville State (AL),OLB,75,242,9.13,32,4.87,21,26.5,113,7.52,,
2018,Donte Jackson,Louisiana State,CB,71,175,,,4.32,7,,124,,,
2018,J.C. Jackson,Maryland,CB,71,193,,,4.46,14,35.5,120,,,
2018,Josh Jackson,Iowa,CB,73,192,,,4.56,18,38,123,6.86,4.03,
2018,Justin Jackson,Northwestern,RB,72,199,9.25,30.63,4.52,13,38.5,122,6.81,4.07,11.06
2018,Lamar Jackson,Louisville,QB,74,216,9.5,33.13,,,,,,,
2018,Leon Jacobs,Wisconsin,OLB,75,246,9.63,33.5,4.48,26,34.5,122,7.14,4.44,12.15
2018,Natrell Jamerson,Wisconsin,FS,72,198,,,4.4,25,35.5,120,,,
2018,Derwin James,Florida State,SS,75,215,,,4.47,21,40,132,,,
2018,Richie James,Middle Tennessee State,WR,70,183,9.25,31.25,4.48,6,35.5,122,6.87,4.16,11.44
2018,Malik Jefferson,Texas,ILB,75,236,9.63,32,4.52,27,36,125,,,
2018,Josey Jewell,Iowa,ILB,73,234,10,32,4.82,18,33,117,6.8,4.27,11.52
2018,Danny Johnson,Southern (LA),CB,70,185,,,4.44,15,35,123,,,
2018,Kerryon Johnson,Auburn,RB,71,213,9.75,32.5,,11,40,126,7.07,4.29,
2018,Taron Johnson,Weber State (UT),CB,72,180,,,4.5,17,33,118,7.03,4.28,
2018,Chris Jones,Nebraska,CB,72,195,,,4.57,14,,,,,
2018,Justin Jones,North Carolina State,DT,74,309,10,33.5,5.09,24,29,104,7.82,4.74,
2018,Ronald Jones,Southern California,RB,71,205,8.75,31.13,4.65,,36.5,,,,
2018,Sam Jones,Arizona State,OG,77,305,9.5,31,5.32,28,27,101,7.92,4.86,
2018,Michael Joseph,Dubuque (IA),CB,73,181,,,,17,34,,6.89,4.2,11.98
2018,Peter Kalambayi,Stanford,OLB,75,252,9,33.5,4.57,19,34,121,7.13,4.36,
2018,Joshua Kalu,Nebraska,FS,73,195,,,4.58,17,41.5,134,,,
2018,John Kelly,Tennessee,RB,70,216,9.38,31.38,,15,35,120,7.13,4.51,
2018,Kameron Kelly,San Diego State,FS,74,200,,,4.66,9,33,120,6.94,4.28,
2018,Arden Key,Louisiana State,DE,78,238,10,33.5,,,31,117,7.16,4.25,
2018,Jamarcus King,South Carolina,CB,73,186,,,4.7,,,,,,
2018,Christian Kirk,Texas A&M,WR,70,201,9.88,30.38,4.47,20,35.5,115,7.09,4.45,12.03
2018,Micah Kiser,Virginia,ILB,74,238,9.38,32,4.66,,35.5,121,7.05,4.24,
2018,Chris Lacy,Oklahoma State,WR,75,205,9.75,31.25,4.51,11,33.5,120,,,
2018,Harold Landry,Boston College,OLB,75,252,9.38,32.88,4.64,24,36,119,6.88,4.19,11.35
2018,Jordan Lasley,UCLA,WR,73,203,9.63,32.75,4.5,8,34.5,112,,4.19,
2018,Kyle Lauletta,Richmond (VA),QB,75,222,9.75,30.63,4.81,,31,113,6.95,4.07,
2018,Allen Lazard,Iowa State,WR,77,227,9.75,32.25,4.55,17,38,122,,,
2018,Tanner Lee,Nebraska,QB,76,218,10.5,32.5,4.98,,32,115,7,4.41,
2018,Darius Leonard,South Carolina State,OLB,74,234,10.25,34.38,4.7,17,,,,,
2018,Tyquan Lewis,Ohio State,DE,75,265,10.38,33,,,35.5,122,,,
2018,Chase Litton,Marshall (WV),QB,77,230,9.38,32.25,4.9,,29.5,106,7.49,4.53,
2018,James Looney,California,DE,75,287,10.5,32,4.89,28,35.5,113,7.32,4.37,
2018,Lowell Lotulelei,Utah,DT,74,315,9.63,33,,28,,,,,
2018,Avonte Maddox,Pittsburgh,CB,69,180,,,4.39,13,37,125,6.51,4,10.72
2018,Cole Madison,Washington State,OG,77,308,10.38,32.25,5.33,26,28.5,97,7.86,4.88,
2018,K.J. Malone,Louisiana State,OG,76,303,9.25,33.5,5.34,15,29.5,103,,,
2018,Tavares Martin,Washington State,WR,73,177,9.13,32.13,4.8,,31.5,,,,
2018,Hercules MataAfa,Washington State,OLB,73,254,10.25,31.5,4.76,26,31.5,108,7.24,4.37,
2018,Baker Mayfield,Oklahoma,QB,73,215,9.25,30.25,4.84,,29,111,7,4.28,
2018,Ray-Ray Mccloud,Clemson,WR,69,190,9.25,30.25,4.53,13,34.5,113,,,
2018,Mike Mccray,Michigan,OLB,76,243,9.13,32.63,4.76,16,31.5,119,7.09,4.25,11.61
2018,KC Mcdermott,Miami (FL),OT,78,311,9.75,32.5,5.35,26,23.5,97,7.72,4.82,
2018,Tarvarus Mcfadden,Florida State,CB,74,198,,,4.67,,38.5,121,,,
2018,R.J. Mcintosh,Miami (FL),DT,76,286,9.38,33.88,,,,,,,
2018,Kahlil Mckenzie,Tennessee,DT,77,314,10.13,31.5,5.15,26,29.5,105,7.94,4.68,
2018,Sony Michel,Georgia,RB,71,214,9.13,31.25,4.54,22,,,,4.21,
2018,Anthony Miller,Memphis,WR,71,201,10.63,31.63,,22,,,,,
2018,Steven Mitchell,Southern California,WR,70,189,9.38,30.38,4.56,13,32.5,121,6.75,4.4,
2018,D.J. Moore,Maryland,WR,72,210,9.63,31.63,4.42,15,39.5,132,6.95,4.07,11.18
2018,JMon Moore,Missouri,WR,75,207,9.38,32.88,4.6,21,38,120,6.56,4.04,
2018,Kamrin Moore,Boston College,CB,71,200,,,,,,,,,
2018,Skai Moore,South Carolina,OLB,74,226,9.38,32,4.73,,36,117,,,
2018,Ryan Nall,Oregon State,RB,74,232,10.5,31.5,4.58,15,33,122,6.95,4.16,11.57
2018,Siran Neal,Jacksonville State (AL),SS,72,199,,,4.56,17,40.5,122,7,4.28,
2018,Nick Nelson,Wisconsin,CB,71,208,,,4.52,17,,123,,,
2018,Quenton Nelson,Notre Dame,OG,77,325,10.38,33.75,,35,26.5,105,7.65,4.62,
2018,Bilal Nichols,Delaware,DT,76,306,10.25,33.38,4.95,29,,,,,
2018,Parry Nickerson,Tulane (LA),CB,72,180,,,4.32,15,,,,,
2018,Derrick Nnadi,Florida State,DT,73,317,9.88,33.5,5.38,25,27,96,8.15,5.02,
2018,Kendrick Norton,Miami (FL),DT,75,314,10.75,33.75,5.25,30,,,,,
2018,Uchenna Nwosu,Southern California,OLB,75,251,9,33.63,4.65,20,32,119,,,
2018,Dorian ODaniel,Clemson,OLB,73,223,9,31.13,4.61,21,32,119,6.64,4.07,
2018,Ogbonnia Okoronkwo,Oklahoma,DE,73,253,9,33.75,4.77,27,38,121,,,
2018,Isaiah Oliver,Colorado,CB,73,190,,,4.5,,,,,,
2018,Rashaad Penny,San Diego State,RB,71,220,9.25,31.25,4.46,13,32.5,120,,,
2018,Dante Pettis,Washington,WR,72,186,9.5,32.25,,,,,,,
2018,Kamryn Pettway,Auburn,RB,72,233,9.5,31.25,4.74,22,33.5,116,,,
2018,Cam Phillips,Virginia Tech,WR,72,201,8.88,30.5,,,,,,,
2018,Darius Phillips,Western Michigan,CB,70,190,,,4.54,,,,,,
2018,Skyler Phillips,Idaho State,OG,75,318,9.5,33,5.1,,29,104,7.95,4.69,
2018,Eddy Pineiro,Florida,K,72,185,8.25,29.88,,,,,,,
2018,Billy Price,Ohio State,C,76,305,9.75,32,,,,,,,
2018,Byron Pringle,Kansas State,WR,73,203,9.25,32,4.46,15,33.5,120,6.87,4.4,
2018,Jacob Pugh,Florida State,OLB,76,246,10.13,34.38,4.65,,38.5,122,,,
2018,Scott Quessenberry,UCLA,C,76,310,9.75,31.75,5.09,25,33.5,111,7.5,4.69,
2018,Trey Quinn,Southern Methodist (TX),WR,71,203,10.13,30.75,4.55,17,33.5,116,6.91,4.19,11.4
2018,Frank Ragnow,Arkansas,C,77,312,9.38,33.13,,26,,,,,
2018,Martinas Rankin,Mississippi State,OT,76,308,10.13,33.75,,24,,,,,
2018,Max Redfield,Indiana (PA),SS,73,205,,,4.69,15,,,,,
2018,Justin Reid,Stanford,FS,73,204,,,4.4,16,36.5,128,6.65,4.15,
2018,Demario Richard,Arizona State,FB,69,218,9.25,28.75,4.7,12,29.5,115,,,
2018,Stephen Roberts,Auburn,FS,71,189,,,4.53,,34,121,,,
2018,JaVon Rolland-Jones,Arkansas State,OLB,74,253,10.13,32.75,4.88,23,,,,,
2018,Josh Rosen,UCLA,QB,76,226,9.88,31.75,4.92,,31,111,7.09,4.28,
2018,Olubunmi Rotimi,Old Dominion (VA),DE,76,273,9.75,34.88,,21,32,113,7.46,4.7,
2018,Mason Rudolph,Oklahoma State,QB,77,235,9.13,32.38,4.9,,26,,,,
2018,Christian Sam,Arizona State,ILB,74,244,10,31.5,4.75,28,32,114,7.03,4.25,
2018,Jaylen Samuels,North Carolina State,TE,71,225,9.5,31.25,4.54,18,34.5,121,6.93,4.28,
2018,Domincik Sanders,Georgia,FS,72,193,,,,14,,,,,
2018,Tegray Scales,Indiana,ILB,72,230,8.63,30.75,4.77,27,,,,,
2018,Bo Scarbrough,Alabama,RB,73,228,10.5,33.5,4.52,14,40,129,,4.34,
2018,Dalton Schultz,Stanford,TE,77,244,9.25,31.75,4.75,15,32,120,7,4.4,
2018,JK Scott,Alabama,P,78,208,9.13,33.13,4.83,,30.5,114,7.28,4.41,
2018,Coleman Shelton,Washington,C,75,292,8.5,31.5,5.24,,26.5,110,7.62,4.59,
2018,Nic Shimonek,Texas Tech,QB,75,220,9.25,30.75,4.88,,28.5,101,7.28,4.32,
2018,Andre Smith,North Carolina,ILB,72,237,10,33.13,4.63,19,,,,,
2018,Braden Smith,Auburn,OG,78,315,9.38,32.25,5.22,35,33.5,113,,4.77,
2018,Roquan Smith,Georgia,ILB,73,236,10,32,4.51,,,,,,
2018,Van Smith,Clemson,FS,71,185,,,4.61,,29.5,,,,
2018,Durham Smythe,Notre Dame,TE,77,253,10.75,32.5,4.81,18,31,110,7.17,4.23,11.86
2018,Kentavius Street,North Carolina State,DE,74,280,10.25,32.88,4.87,28,,,,,
2018,Josh Sweat,Florida State,OLB,76,251,10.25,34.63,4.53,,39.5,124,,4.28,
2018,Wyatt Teller,Virginia Tech,OG,76,314,10.25,34,5.24,30,29,114,7.45,4.84,
2018,Chad Thomas,Miami (FL),DE,78,281,10.25,33.5,4.92,,29,116,,,
2018,Ian Thomas,Indiana,TE,76,259,11.5,34.13,4.74,,36,123,7.15,4.2,
2018,Jordan Thomas,Mississippi State,TE,77,265,9.63,32.25,4.74,16,27,111,7.5,4.75,
2018,Matthew Thomas,Florida State,OLB,75,232,8.88,33,4.58,,41.5,131,6.85,4.28,
2018,Roc Thomas,Jacksonville State (AL),RB,70,198,9.25,31.63,4.56,16,35.5,125,,,
2018,Johnny Townsend,Florida,P,73,210,9.5,30.63,,,,,,,
2018,Shane Tripucka,Texas A&M,P,75,211,9.75,31.5,,,,,,,
2018,Kemoko Turay,Rutgers,OLB,77,253,9.63,33.38,4.65,,,,,,
2018,Salesi Uhatafe,Utah,OG,77,310,10.25,33,5.4,,28,109,7.7,4.9,
2018,Leighton Vander Esch,Boise State,OLB,76,256,9.75,33.88,4.65,20,39.5,124,6.88,4.15,11.57
2018,Azeem Victor,Washington,ILB,73,240,9.38,33,4.72,19,32.5,115,7.2,4.4,
2018,Akrum Wadley,Iowa,RB,70,194,8.25,29.5,4.54,12,32,,,,
2018,Trey Walker,Louisiana-Lafayette,SS,74,200,,,4.51,14,33,119,7,4.28,11.27
2018,Mark Walton,Miami (FL),RB,70,202,9.25,30,4.6,18,31.5,118,,,
2018,Chris Warren,Texas,RB,74,247,10,32,4.69,25,33,121,6.98,4.18,12.03
2018,Armani Watts,Texas A&M,FS,71,205,,,,13,35,120,7.25,4.37,
2018,Damon Webb,Ohio State,SS,71,195,,,4.62,17,,,,,
2018,David Wells,San Diego State,TE,78,256,9.63,32.25,4.75,20,33,116,7.5,4.59,12.41
2018,Sean Welsh,Iowa,OG,75,306,10.25,32,5.43,20,25,103,7.9,4.81,
2018,Kyzir White,West Virginia,SS,74,216,,,,21,35.5,113,,,
2018,Mike White,Western Kentucky,QB,77,224,9.5,31.88,5.09,,27,96,7.4,4.4,
2018,Jordan Whitehead,Pittsburgh,FS,71,195,,,,21,,,,,
2018,Jojo Wicker,Arizona State,DE,75,296,9.13,31.75,5.16,25,30,105,,,
2018,Jordan Wilkins,Mississippi,RB,73,216,9.38,30.13,,16,36,117,,4.27,
2018,Anthony Winbush,Ball State (IN),OLB,73,249,9.25,32.13,,25,,110,,,
2018,Ryan Winslow,Pittsburgh,P,77,217,8.63,30.25,,,,,,,
2018,Logan Woodside,Toledo,QB,73,213,9.75,31,4.79,,31.5,103,6.94,4.15,
2018,Chris Worley,Ohio State,ILB,74,238,9.25,31.25,4.86,15,29.5,,,,
2018,Isaiah Wynn,Georgia,OG,75,313,8.5,33.38,,,,,,,
2018,Kenny Young,UCLA,ILB,73,236,9.5,32.38,4.6,23,36,117,7.38,4.48,
2018,Trevon Young,Louisville,DE,76,258,10,33.75,4.78,25,33,114,6.99,4.4,11.6
2017,Jamal Adams,Louisiana State,SS,71.63,214,9.25,33.38,4.56,18,31.5,120,6.96,4.13,
2017,Montravius Adams,Auburn,DT,75.63,304,9.25,32.75,4.87,22,29,108,7.62,,
2017,Rodney Adams,South Florida,WR,73.25,189,9,32,4.44,8,29.5,125,6.98,4.28,11.39
2017,Quincy Adeboyejo,Mississippi,WR,74.75,197,9.38,31.75,4.42,8,34.5,123,6.73,4.14,
2017,Brian Allen,Utah,DB,74.88,215,10,34,4.48,15,34.5,117,6.64,4.34,
2017,Jonathan Allen,Alabama,DE,74.63,286,9.38,33.63,5,21,30,108,7.49,4.44,
2017,Ryan Anderson,Alabama,OLB,74.13,253,9.38,31.5,4.78,,,,,,
2017,Gavin Andrews,Oregon State,OG,77,340,,,,,,,,5.09,
2017,Alex Anzalone,Florida,LB,75,241,9.13,32.13,4.63,16,30.5,116,6.88,,
2017,Isaac Asiata,Utah,OG,75.13,323,10.38,33.75,5.34,35,25.5,102,7.83,4.93,
2017,Antony Auclair,Laval,TE,78,254,,,,,,,,4.45,12.08
2017,Erik Austell,Charleston Southern,OT,75.13,301,9,32,5.23,24,27.5,107,8.13,4.9,
2017,Chidobe Awuzie,Colorado,CB,71.75,202,8.5,30.63,4.43,16,34.5,132,6.81,4.14,
2017,Budda Baker,Washington,FS,69.63,195,9,30.75,4.45,15,32.5,115,6.76,4.08,
2017,Toby Baker,Arkansas,P,75.13,210,9.25,31.63,,,,,,,
